O-antigen,Structure,sugar
O85,aDGalf(1->4) | ->2)aDGal(1->3)bDManNAc(1->6)bDGalf(1->3)bDGlcNAc(1->,aDGal|bDGalf|bDGlcNAc|bDManNAc
O86,aDGal(1->3) | ->4)aLFuc(1->2)bDGal(1->3)aDGalNAc(1->3)bDGalNAc(1->,aDGalNAc|aLFuc|bDGal|bDGalNAc
O86,->2)aDGal(1->3)bDGal(1->3)aDGalNAc(1->3)aDGalNAc(1-> | aLFuc(1->2),aDGal|aDGalNAc|bDGal
O86,aDGal(1->3) | ->4)aLFuc(1->2)bDGal(1->3)aDGalNAc(1->3)bDGalNAc(1->,aDGalNAc|aLFuc|bDGal|bDGalNAc
O87,->3)bDGalf(1->4)aDGal(1->3)aDGalA4Ac(1->3)bDGalNAc(1->,aDGal|aDGalA4Ac|bDGalNAc|bDGalf
O88,->4)aDMan(1->3)aDMan(1->3)bDGlcNAc(1-> | aLTal6d(1->3),aDMan|bDGlcNAc
O89,,
O90,->4)aLFuc2Ac3Ac(1->2)bDGal(1->3)aDGalNAc(1->3)bDGalNAc(1->,aDGalNAc|aLFuc2Ac3Ac|bDGal|bDGalNAc
O91,->4)aDQui3NBuR3OH(1->4)bDGal(1->4)bDGlcNAc(1->4)bDGlcA6NGly(1->3)bDGlcNAc(1->,aDQui3NBuR3OH|bDGal|bDGlcA6NGly|bDGlcNAc
O92,->1)bDFruf3Ac(2->3)bDFruf(2->,bDFruf|bDFruf3Ac
O93,->2)bDMan(1->3)bDMan2Ac6Ac(1->4)bDGlcA(1->3)aDGlcNAc(1->,aDGlcNAc|bDGlcA|bDMan|bDMan2Ac6Ac
O95,->3)aDFuc(1->3)bDXulf(2->,aDFuc|bDXulf
O96,->2)aDGlcA(1->4)bDGlcNAc(1->5)bDGalf(1->3)bDGlcNAc(1-> | bDGalf(1->4),aDGlcA|bDGalf|bDGlcNAc
O97,bDXulf(2->2) | ->3)aLRha(1->3)bLRha(1-> | bDXulf(2->2)... O98,aLRha|bLRha
O98,->3)aLQuiNAc(1->4)aDGalNAcA(1->3)aLQuiNAc(1->3)bDGlcNAc(1->,aDGalNAcA|aLQuiNAc|bDGlcNAc
O99,aDGlc(1->2) aDGlc(1->2) | ->3)aDRha(1->2)aDRha(1->2)aDRha(1->3)aDRha(1->, aDGlc|aDRha
O100,->2)aLRha(1->3)aLRha(1->3)aDGal(1->3)bDGlcNAc(1-> | DGro(1-P-6),aDGal|aLRha|bDGlcNAc
O101,->6)aDGlcNAc(1->4)aDGalNAc(1->,aDGalNAc|aDGlcNAc
O101,->4)bDGalNAc(1->4)aDGalNAc(1->,aDGalNAc|bDGalNAc
O102,aLRha(1->4)bDGalNAc(1->3) | ->4)aDGal(1->6)bDGlc(1->3)bDGalNAc(1->,aDGal|bDGalNAc|bDGlc
O103,->2)bDGlc(1->2)bDFuc3NBuR3OH(1->6)aDGlcNAc(1->4)aDGalNAc(1->3)bDGlcNAc(1->,aDGalNAc|aDGlcNAc|bDFuc3NBuR3OH|bDGlc|bDGlcNAc
O104,->4)aDGal(1->4)aNeu5Ac7Ac9Ac(2->3)bDGal(1->3)bDGalNAc(1->,aDGal|aNeu5Ac7Ac9Ac|bDGal|bDGalNAc
O105,bDRibf(1->4)aDGlcA(1->2) | ->3)aLRha(1->3)bLRha(1->4)aLRha(1->3)bDGlcNAc(1->,aDGlcA|aLRha|bDGlcNAc|bLRha
O106,aDGlc(1->4) | ->6)aDMan(1->2)aDMan(1->2)bDMan(1->3)aDGlcNAc(1-> | aDGlc(1->6),aDGlcNAc|aDMan|bDMan
O107,->4)bDGalNAc(1->3)aLRha(1->4)aDGlcNAc(1->4)bDGal(1->3)aDGalNAc(1->,aDGalNAc|aDGlcNAc|aLRha|bDGal|bDGalNAc
O108,->4)a8eLeg5Ac7Ac(2->6)aDGal(1->3)aLFucNAc(1->3)aDGlcNAc(1->,a8eLeg5Ac7Ac|aDGal|aDGlcNAc|aLFucNAc
O109,bLRhaNAc3NAc4Ac(1->3) | ->4)aDGlc(1->3)aLTal6d2Ac(1->3)bDGlcNAc(1->,aDGlc|aLTal6d2Ac|bDGlcNAc
O110,->4)aDGalA6DaThr(1->4)aDGal(1->3)aDGal(1->3)bDGlcNAc(1->,aDGal|aDGalA6DaThr|bDGlcNAc
O111,aCol(1->6) | ->4)aDGlc(1->4)aDGal(1->3)bDGlcNAc(1-> | aCol(1->3),aDGal|aDGlc|bDGlcNAc
O112 ab,bDGlcNAc(1->3) | ->4)aDGalNAc(1->4)aDGlc(1->4)aLIdoA(1->3)bDGalNAc(1->,aDGalNAc|aDGlc|aLIdoA|bDGalNAc
